Property,Description,N,Missing,Unique,Sum,Mean
mean_p,Mean score of 3 models,162,0,162,,
rf_p, Random Forest Model,162,0,162,,
threat_p,something,162,0,162,,
harff_p,something,162,0,162,,
imr_normed_ln,Infant mortality rate relative to annual global median logged,,,,,
mev_regac_ln,Scalar measure of armed conflict in geographic region logged,,,,,
postcw,Post-Cold War period (year > 1991),,,,,
cou_tries5d,Any coup attempts in past 5 years,,,,,
pol_cat_fl2,Anocracy (Fearon and Laitin),,,,,
pol_catfl3,Democracy (Fearon and Laitin),,,,,
pol_catfl7,Other (Fearon and Laitin),,,,,
pol_durable_ln,Regime duration logged (Polity),,,,,
gdppcgrow_sr,Annual % change in GDP per capita (meld of IMF and WDI),,,,,
mev_civtot_ln,Scale of violent civil conflict logged,,,,,
ios_iccpr1,ICCPR 1st Optional Protocol signatory,,,,,
wdi_popsize_ln,Population size logged,,,,,
coup_p,Aggregate coup score,,,,,
cwar_p,Civil war,,,,,
pol_cat_pitf2,Partial autocracy (PITF),,,,,
pol_cat_pitf3,Partial democracy with factionalism (PITF),,,,,
pol_cat_pitf4,Partial democracy without factionalism (PITF),,,,,
pol_cat_pitf5,Full democracy (PITF),,,,,
pol_cat_pitf6,Other (PITF),,,,,
dis_l4pop_ln,Percent of population subjected to state-led discrimination logged,,,,,
pitf_p,something,,,,,
mkl_ever,Any state-led mass killing since WWII (cumulative),,,,,
pit_sftpuhvl2_10_ln,Sum of max annual magnitudes of PITF instability,,,,,
pol_autoc,Autocracy score,,,,,
elc_eliti,Ruling elites espouse an exclusionary ideology,,,,,
elc_elethc,Salient elite ethnicity (yes/no),,,,,
wdi_trade_ln,Trade openness logged,,,,,
mkl_ongoing,Any ongoing episodes of state-led mass killing,,,,,
countryage_ln,Country age logged,,,,,
pol_cat_fl1,Autocracy (Fearon and Laitin),,,,,
elf_ethnicc1,Ethnic fractionalization: low,,,,,
elf_ethnicc2,Ethnic fractionalization: medium,,,,,
elf_ethnicc3,Ethnic fractionalization: high,,,,,
elf_ethnicc9,Ethnic fractionalization: missing,,,,,
elc_eleth1,Salient elite ethnicity: majority rule,,,,,
elc_eleth2,Salient elite ethnicity: minority rule,,,,,
